in s,C1 in V,C2 in V,C3 in V,C4 in V
-1.0940E-02,2.08389E-01,4.26666E-03,2.58075E-01,1.98784E-01
-1.0936E-02,2.08481E-01,4.26666E-03,2.70678E-01,1.98784E-01
-1.0933E-02,2.09518E-01,5.25848E-03,2.79254E-01,2.00158E-01
-1.0930E-02,2.09000E-01,4.72443E-03,3.03286E-01,1.99319E-01
-1.0927E-02,2.10068E-01,4.11407E-03,3.28189E-01,1.99624E-01
-1.0923E-02,2.09061E-01,4.95331E-03,3.42547E-01,2.00616E-01
-1.0920E-02,2.09549E-01,4.03778E-03,3.56479E-01,1.98708E-01
-1.0917E-02,2.09579E-01,5.25848E-03,3.76071E-01,2.00463E-01
-1.0913E-02,2.09641E-01,5.10590E-03,4.04971E-01,2.00387E-01
-1.0910E-02,2.09915E-01,4.57184E-03,4.25296E-01,1.99776E-01
-1.0907E-02,2.09518E-01,4.64813E-03,4.39090E-01,1.98937E-01
-1.0904E-02,2.09457E-01,4.41925E-03,4.59048E-01,2.00234E-01
-1.0900E-02,2.08817E-01,3.96149E-03,4.73742E-01,1.98861E-01
-1.0897E-02,2.08725E-01,4.19037E-03,4.79815E-01,1.99929E-01
-1.0894E-02,2.07870E-01,2.13043E-03,4.93457E-01,1.99395E-01
-1.0890E-02,2.08420E-01,2.89337E-03,5.04214E-01,1.98479E-01
-1.0887E-02,2.08481E-01,2.58820E-03,5.09723E-01,2.00081E-01
-1.0884E-02,2.08206E-01,3.12225E-03,5.20358E-01,1.98632E-01
-1.0881E-02,2.08420E-01,3.73260E-03,5.27987E-01,1.99395E-01
-1.0877E-02,2.08878E-01,4.03778E-03,5.29574E-01,1.99242E-01
-1.0874E-02,2.09244E-01,3.50372E-03,5.27697E-01,1.99090E-01
-1.0871E-02,2.09274E-01,2.96967E-03,5.23654E-01,1.98784E-01
-1.0868E-02,2.09610E-01,3.73260E-03,5.14819E-01,1.98708E-01
-1.0864E-02,2.09457E-01,3.65631E-03,4.99225E-01,1.99090E-01
-1.0861E-02,2.09976E-01,4.49554E-03,4.85095E-01,2.00005E-01
-1.0858E-02,2.10403E-01,5.02960E-03,4.63595E-01,1.99013E-01
-1.0854E-02,2.10464E-01,3.96149E-03,4.35382E-01,2.00310E-01
-1.0851E-02,2.11014E-01,4.41925E-03,4.10510E-01,2.00921E-01
-1.0848E-02,2.11655E-01,4.26666E-03,3.83258E-01,2.00158E-01
-1.0845E-02,2.12082E-01,4.87701E-03,3.56387E-01,1.99853E-01
-1.0841E-02,2.12234E-01,5.33478E-03,3.40670E-01,2.00539E-01
-1.0838E-02,2.11990E-01,4.87701E-03,3.26327E-01,2.00692E-01
-1.0835E-02,2.12906E-01,5.18219E-03,3.16546E-01,2.01607E-01
-1.0832E-02,2.12784E-01,5.18219E-03,3.12259E-01,2.01226E-01
-1.0828E-02,2.12723E-01,5.02960E-03,3.01913E-01,2.01226E-01
-1.0825E-02,2.12692E-01,5.79254E-03,2.92788E-01,2.00844E-01
-1.0822E-02,2.12509E-01,5.94513E-03,2.78476E-01,2.01378E-01
-1.0818E-02,2.12418E-01,5.79254E-03,2.68039E-01,2.01150E-01
-1.0815E-02,2.13089E-01,5.48737E-03,2.60867E-01,2.01455E-01
-1.0812E-02,2.13089E-01,4.80072E-03,2.56106E-01,2.00692E-01
-1.0809E-02,2.14188E-01,5.25848E-03,2.54992E-01,2.00539E-01
-1.0805E-02,2.14279E-01,5.48737E-03,2.54397E-01,2.00234E-01
-1.0802E-02,2.14249E-01,5.63995E-03,2.58105E-01,1.99471E-01
-1.0799E-02,2.14310E-01,7.31842E-03,2.66375E-01,2.00005E-01
-1.0795E-02,2.14035E-01,6.09772E-03,2.78369E-01,2.00234E-01
-1.0792E-02,2.13791E-01,5.02960E-03,2.94543E-01,2.00463E-01
-1.0789E-02,2.14249E-01,5.71625E-03,3.12350E-01,2.02065E-01
-1.0786E-02,2.13943E-01,5.71625E-03,3.23748E-01,2.03438E-01
-1.0782E-02,2.14951E-01,6.25031E-03,3.39969E-01,2.02218E-01
-1.0779E-02,2.15103E-01,6.02142E-03,3.52023E-01,2.03362E-01
-1.0776E-02,2.14554E-01,5.94513E-03,3.58264E-01,2.03744E-01
-1.0773E-02,2.14981E-01,5.41107E-03,3.72409E-01,2.03820E-01
-1.0769E-02,2.14767E-01,4.95331E-03,3.90490E-01,2.04125E-01
-1.0766E-02,2.14340E-01,5.94513E-03,4.18139E-01,2.03744E-01
-1.0763E-02,2.14157E-01,4.72443E-03,4.39593E-01,2.02752E-01
-1.0759E-02,2.13669E-01,4.72443E-03,4.64602E-01,2.02981E-01
-1.0756E-02,2.13608E-01,4.34296E-03,4.75573E-01,2.01913E-01
-1.0753E-02,2.12906E-01,2.96967E-03,4.88101E-01,2.02675E-01
-1.0750E-02,2.12448E-01,3.19855E-03,5.01910E-01,2.03362E-01
-1.0746E-02,2.11838E-01,3.35114E-03,5.13324E-01,2.02141E-01
-1.0743E-02,2.11716E-01,2.58820E-03,5.22296E-01,2.02065E-01
-1.0740E-02,2.11777E-01,2.58820E-03,5.28354E-01,2.02904E-01
-1.0736E-02,2.12143E-01,1.52008E-03,5.28033E-01,2.02065E-01
-1.0733E-02,2.12357E-01,1.82526E-03,5.25744E-01,2.02752E-01
-1.0730E-02,2.12143E-01,2.13043E-03,5.20099E-01,2.01684E-01
-1.0727E-02,2.13303E-01,3.27484E-03,5.14239E-01,2.02294E-01
-1.0723E-02,2.12906E-01,2.96967E-03,5.09280E-01,2.01302E-01
-1.0720E-02,2.13211E-01,3.19855E-03,4.97775E-01,2.02599E-01
-1.0717E-02,2.13242E-01,3.65631E-03,4.87323E-01,2.03438E-01
-1.0714E-02,2.13333E-01,4.41925E-03,4.76611E-01,2.02141E-01
-1.0710E-02,2.13669E-01,3.42743E-03,4.63244E-01,2.02752E-01
-1.0707E-02,2.13699E-01,3.65631E-03,4.45910E-01,2.02675E-01
-1.0704E-02,2.14188E-01,3.65631E-03,4.26196E-01,2.03133E-01
-1.0700E-02,2.14371E-01,4.80072E-03,4.04315E-01,2.02828E-01
-1.0697E-02,2.14066E-01,3.42743E-03,3.82266E-01,2.03820E-01
-1.0694E-02,2.14584E-01,3.88519E-03,3.63559E-01,2.03057E-01
-1.0691E-02,2.14035E-01,3.88519E-03,3.36078E-01,2.03133E-01
-1.0687E-02,2.14859E-01,3.27484E-03,3.20529E-01,2.03438E-01
-1.0684E-02,2.14462E-01,4.11407E-03,3.01989E-01,2.03210E-01
-1.0681E-02,2.14462E-01,3.12225E-03,2.82565E-01,2.04507E-01
-1.0677E-02,2.15134E-01,4.19037E-03,2.68161E-01,2.03667E-01
-1.0674E-02,2.14828E-01,3.27484E-03,2.57571E-01,2.04583E-01
-1.0671E-02,2.14890E-01,3.27484E-03,2.51468E-01,2.05269E-01
-1.0668E-02,2.15134E-01,3.50372E-03,2.51849E-01,2.06261E-01
-1.0664E-02,2.15256E-01,3.80890E-03,2.57586E-01,2.07329E-01
-1.0661E-02,2.14981E-01,3.50372E-03,2.63736E-01,2.07024E-01
-1.0658E-02,2.15347E-01,3.80890E-03,2.69656E-01,2.08016E-01
-1.0655E-02,2.14920E-01,3.96149E-03,2.81680E-01,2.07558E-01
-1.0651E-02,2.14920E-01,2.66449E-03,2.93933E-01,2.06338E-01
-1.0648E-02,2.15469E-01,4.49554E-03,3.04232E-01,2.06643E-01
-1.0645E-02,2.15012E-01,3.80890E-03,3.13723E-01,2.05727E-01
-1.0641E-02,2.15591E-01,3.65631E-03,3.26404E-01,2.05041E-01
-1.0638E-02,2.15530E-01,4.49554E-03,3.39770E-01,2.06109E-01
-1.0635E-02,2.16049E-01,4.34296E-03,3.48468E-01,2.06719E-01
-1.0632E-02,2.15591E-01,4.11407E-03,3.74530E-01,2.06185E-01
-1.0628E-02,2.15500E-01,5.48737E-03,3.99463E-01,2.06261E-01
-1.0625E-02,2.15164E-01,4.34296E-03,4.26242E-01,2.05269E-01
-1.0622E-02,2.15317E-01,3.96149E-03,4.49130E-01,2.04964E-01
-1.0619E-02,2.15225E-01,3.27484E-03,4.74170E-01,2.04812E-01
-1.0615E-02,2.15195E-01,4.57184E-03,4.96096E-01,2.04507E-01
-1.0612E-02,2.15927E-01,5.18219E-03,5.05526E-01,2.04583E-01
-1.0609E-02,2.15714E-01,4.72443E-03,5.12729E-01,2.04201E-01
-1.0605E-02,2.15927E-01,5.02960E-03,5.17566E-01,2.04354E-01
-1.0602E-02,2.16354E-01,5.18219E-03,5.17886E-01,2.04659E-01
-1.0599E-02,2.16782E-01,6.02142E-03,5.12484E-01,2.04735E-01
-1.0596E-02,2.17331E-01,4.95331E-03,4.98340E-01,2.06109E-01
-1.0592E-02,2.17758E-01,5.94513E-03,4.80441E-01,2.03896E-01
-1.0589E-02,2.17606E-01,5.56366E-03,4.68005E-01,2.05041E-01
-1.0586E-02,2.18094E-01,5.41107E-03,4.55600E-01,2.04888E-01
-1.0582E-02,2.17941E-01,5.71625E-03,4.45987E-01,2.04964E-01
-1.0579E-02,2.17972E-01,5.25848E-03,4.34573E-01,2.05193E-01
-1.0576E-02,2.18246E-01,5.79254E-03,4.18094E-01,2.05880E-01
-1.0573E-02,2.17941E-01,5.02960E-03,3.86767E-01,2.05117E-01
-1.0569E-02,2.17880E-01,4.80072E-03,3.60797E-01,2.05041E-01
-1.0566E-02,2.17606E-01,5.18219E-03,3.43020E-01,2.05804E-01
-1.0563E-02,2.17606E-01,4.80072E-03,3.24160E-01,2.06566E-01
-1.0560E-02,2.16751E-01,4.72443E-03,3.10870E-01,2.06414E-01
-1.0556E-02,2.16782E-01,4.34296E-03,2.91324E-01,2.07406E-01
-1.0553E-02,2.16843E-01,3.73260E-03,2.76568E-01,2.07024E-01
-1.0550E-02,2.16934E-01,3.58002E-03,2.59417E-01,2.07940E-01
-1.0546E-02,2.17667E-01,3.88519E-03,2.52337E-01,2.06948E-01
-1.0543E-02,2.18094E-01,5.02960E-03,2.51437E-01,2.08550E-01
-1.0540E-02,2.18307E-01,5.79254E-03,2.54504E-01,2.07940E-01
-1.0537E-02,2.18796E-01,6.09772E-03,2.60013E-01,2.07787E-01
-1.0533E-02,2.18918E-01,5.71625E-03,2.63324E-01,2.08245E-01
-1.0530E-02,2.19254E-01,5.71625E-03,2.71777E-01,2.08321E-01
-1.0527E-02,2.19681E-01,5.63995E-03,2.81039E-01,2.08321E-01
-1.0523E-02,2.20200E-01,6.17401E-03,2.87310E-01,2.08474E-01
-1.0520E-02,2.20230E-01,4.95331E-03,3.04019E-01,2.09008E-01
-1.0517E-02,2.20596E-01,4.95331E-03,3.19293E-01,2.09618E-01
-1.0514E-02,2.19925E-01,4.87701E-03,3.44622E-01,2.09313E-01
-1.0510E-02,2.20016E-01,6.25031E-03,3.72317E-01,2.09313E-01
-1.0507E-02,2.19650E-01,5.33478E-03,4.00485E-01,2.09008E-01
-1.0504E-02,2.20200E-01,5.33478E-03,4.27646E-01,2.08779E-01
-1.0501E-02,2.20261E-01,5.02960E-03,4.46521E-01,2.09389E-01
-1.0497E-02,2.20444E-01,4.80072E-03,4.65274E-01,2.08932E-01
-1.0494E-02,2.20810E-01,4.64813E-03,4.81448E-01,2.08398E-01
